,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
1037,stage4.2.branches.1.1.conv2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])","10,368",0.1435546875,"16,219,392","8,128,512","192,000","150,528",0.00020742416381835938
1038,stage4.2.branches.1.1.bn2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",96,0.1435546875,"150,528","75,264","150,912","150,528",8.678436279296875e-05
1039,stage4.2.branches.1.1.se.avg_pool,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 1, 1])",0,0.00018310546875,0,"40,368",0,0,4.410743713378906e-05
1040,stage4.2.branches.1.1.se.fc.0,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,2.86102294921875e-05
1041,stage4.2.branches.1.1.se.fc.1,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,48,48,192,192,1.049041748046875e-05
1042,stage4.2.branches.1.1.se.fc.2,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,1.9788742065429688e-05
1043,stage4.2.branches.1.1.se.fc.3,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,0,0,0,0,9.775161743164062e-06
1044,stage4.2.branches.1.2.conv1,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])","10,368",0.1435546875,"16,219,392","8,128,512","192,000","150,528",0.00020837783813476562
1045,stage4.2.branches.1.2.bn1,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",96,0.1435546875,"150,528","75,264","150,912","150,528",4.458427429199219e-05
1046,stage4.2.branches.1.2.relu,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",0,0.1435546875,"37,632","37,632","150,528","150,528",1.33514404296875e-05
1047,stage4.2.branches.1.2.conv2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])","10,368",0.1435546875,"16,219,392","8,128,512","192,000","150,528",0.00021123886108398438
1048,stage4.2.branches.1.2.bn2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",96,0.1435546875,"150,528","75,264","150,912","150,528",9.036064147949219e-05
1049,stage4.2.branches.1.2.se.avg_pool,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 1, 1])",0,0.00018310546875,0,"40,368",0,0,4.4345855712890625e-05
1050,stage4.2.branches.1.2.se.fc.0,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,2.7418136596679688e-05
1051,stage4.2.branches.1.2.se.fc.1,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,48,48,192,192,1.0013580322265625e-05
1052,stage4.2.branches.1.2.se.fc.2,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,1.9550323486328125e-05
1053,stage4.2.branches.1.2.se.fc.3,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,0,0,0,0,9.775161743164062e-06
1054,stage4.2.branches.1.3.conv1,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])","10,368",0.1435546875,"16,219,392","8,128,512","192,000","150,528",0.00019359588623046875
1055,stage4.2.branches.1.3.bn1,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",96,0.1435546875,"150,528","75,264","150,912","150,528",4.5299530029296875e-05
1056,stage4.2.branches.1.3.relu,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",0,0.1435546875,"37,632","37,632","150,528","150,528",2.0503997802734375e-05
1057,stage4.2.branches.1.3.conv2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])","10,368",0.1435546875,"16,219,392","8,128,512","192,000","150,528",0.00020241737365722656
1058,stage4.2.branches.1.3.bn2,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 28, 28])",96,0.1435546875,"150,528","75,264","150,912","150,528",4.5299530029296875e-05
1059,stage4.2.branches.1.3.se.avg_pool,"torch.Size([1, 48, 28, 28])","torch.Size([1, 48, 1, 1])",0,0.00018310546875,0,"40,368",0,0,4.601478576660156e-05
1060,stage4.2.branches.1.3.se.fc.0,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,2.6941299438476562e-05
1061,stage4.2.branches.1.3.se.fc.1,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,48,48,192,192,1.0013580322265625e-05
1062,stage4.2.branches.1.3.se.fc.2,"torch.Size([1, 48])","torch.Size([1, 48])","2,304",0.00018310546875,"4,560","2,304","9,408",192,2.6464462280273438e-05
1063,stage4.2.branches.1.3.se.fc.3,"torch.Size([1, 48])","torch.Size([1, 48])",0,0.00018310546875,0,0,0,0,1.0251998901367188e-05
1064,stage4.2.branches.2.0.conv1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00012087821960449219
1065,stage4.2.branches.2.0.bn1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.910064697265625e-05
1066,stage4.2.branches.2.0.relu,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",0,0.07177734375,"18,816","18,816","75,264","75,264",1.0251998901367188e-05
1067,stage4.2.branches.2.0.conv2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00012874603271484375
1068,stage4.2.branches.2.0.bn2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",4.76837158203125e-05
1069,stage4.2.branches.2.0.se.avg_pool,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 1, 1])",0,0.0003662109375,0,"21,600",0,0,3.719329833984375e-05
1070,stage4.2.branches.2.0.se.fc.0,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,3.0517578125e-05
1071,stage4.2.branches.2.0.se.fc.1,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,96,96,384,384,9.5367431640625e-06
1072,stage4.2.branches.2.0.se.fc.2,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,2.288818359375e-05
1073,stage4.2.branches.2.0.se.fc.3,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,0,0,0,0,1.0728836059570312e-05
1074,stage4.2.branches.2.1.conv1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.000118255615234375
1075,stage4.2.branches.2.1.bn1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.910064697265625e-05
1076,stage4.2.branches.2.1.relu,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",0,0.07177734375,"18,816","18,816","75,264","75,264",1.0251998901367188e-05
1077,stage4.2.branches.2.1.conv2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00011277198791503906
1078,stage4.2.branches.2.1.bn2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.838539123535156e-05
1079,stage4.2.branches.2.1.se.avg_pool,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 1, 1])",0,0.0003662109375,0,"21,600",0,0,3.314018249511719e-05
1080,stage4.2.branches.2.1.se.fc.0,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,2.9087066650390625e-05
1081,stage4.2.branches.2.1.se.fc.1,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,96,96,384,384,1.0013580322265625e-05
1082,stage4.2.branches.2.1.se.fc.2,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,2.3126602172851562e-05
1083,stage4.2.branches.2.1.se.fc.3,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,0,0,0,0,1.0013580322265625e-05
1084,stage4.2.branches.2.2.conv1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00011944770812988281
1085,stage4.2.branches.2.2.bn1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.933906555175781e-05
1086,stage4.2.branches.2.2.relu,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",0,0.07177734375,"18,816","18,816","75,264","75,264",1.0251998901367188e-05
1087,stage4.2.branches.2.2.conv2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00011086463928222656
1088,stage4.2.branches.2.2.bn2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.790855407714844e-05
1089,stage4.2.branches.2.2.se.avg_pool,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 1, 1])",0,0.0003662109375,0,"21,600",0,0,3.2901763916015625e-05
1090,stage4.2.branches.2.2.se.fc.0,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,3.0040740966796875e-05
1091,stage4.2.branches.2.2.se.fc.1,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,96,96,384,384,9.5367431640625e-06
1092,stage4.2.branches.2.2.se.fc.2,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,2.2172927856445312e-05
1093,stage4.2.branches.2.2.se.fc.3,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,0,0,0,0,1.049041748046875e-05
1094,stage4.2.branches.2.3.conv1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00011920928955078125
1095,stage4.2.branches.2.3.bn1,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.910064697265625e-05
1096,stage4.2.branches.2.3.relu,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",0,0.07177734375,"18,816","18,816","75,264","75,264",1.52587890625e-05
1097,stage4.2.branches.2.3.conv2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])","20,736",0.07177734375,"8,109,696","4,064,256","158,208","75,264",0.00011277198791503906
1098,stage4.2.branches.2.3.bn2,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 14, 14])",192,0.07177734375,"75,264","37,632","76,032","75,264",3.814697265625e-05
1099,stage4.2.branches.2.3.se.avg_pool,"torch.Size([1, 96, 14, 14])","torch.Size([1, 96, 1, 1])",0,0.0003662109375,0,"21,600",0,0,3.266334533691406e-05
1100,stage4.2.branches.2.3.se.fc.0,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,3.0279159545898438e-05
1101,stage4.2.branches.2.3.se.fc.1,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,96,96,384,384,9.775161743164062e-06
1102,stage4.2.branches.2.3.se.fc.2,"torch.Size([1, 96])","torch.Size([1, 96])","9,216",0.0003662109375,"18,336","9,216","37,248",384,2.2172927856445312e-05
1103,stage4.2.branches.2.3.se.fc.3,"torch.Size([1, 96])","torch.Size([1, 96])",0,0.0003662109375,0,0,0,0,1.049041748046875e-05
1104,stage4.2.branches.3.0.conv1,"torch.Size([1, 192, 7, 7])","torch.Size([1, 192, 7, 7])","41,472",0.035888671875,"4,054,848","2,032,128","203,520","37,632",0.0001423358917236328
1105,stage4.2.branches.3.0.bn1,"torch.Size([1, 192, 7, 7])","torch.Size([1, 192, 7, 7])",384,0.035888671875,"37,632","18,816","39,168","37,632",8.940696716308594e-05
1106,stage4.2.branches.3.0.relu,"torch.Size([1, 192, 7, 7])","torch.Size([1, 192, 7, 7])",0,0.035888671875,"9,408","9,408","37,632","37,632",9.298324584960938e-06
