,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
818,stage4.2.branches.3.3.bn2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.910064697265625e-05
819,stage4.2.branches.3.3.se.avg_pool,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 1, 1])",0,0.000640869140625,0,"10,752",0,0,4.315376281738281e-05
820,stage4.2.branches.3.3.se.fc.0,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,3.504753112792969e-05
821,stage4.2.branches.3.3.se.fc.1,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,168,168,672,672,1.1920928955078125e-05
822,stage4.2.branches.3.3.se.fc.2,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,2.8371810913085938e-05
823,stage4.2.branches.3.3.se.fc.3,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,0,0,0,0,1.3589859008789062e-05
824,stage4.2.branches.3.4.conv1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00024080276489257812
825,stage4.2.branches.3.4.bn1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.600120544433594e-05
826,stage4.2.branches.3.4.relu,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",0,0.031402587890625,"8,232","8,232","32,928","32,928",1.049041748046875e-05
827,stage4.2.branches.3.4.conv2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00020813941955566406
828,stage4.2.branches.3.4.bn2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.8623809814453125e-05
829,stage4.2.branches.3.4.se.avg_pool,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 1, 1])",0,0.000640869140625,0,"10,752",0,0,4.3392181396484375e-05
830,stage4.2.branches.3.4.se.fc.0,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,3.457069396972656e-05
831,stage4.2.branches.3.4.se.fc.1,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,168,168,672,672,1.1682510375976562e-05
832,stage4.2.branches.3.4.se.fc.2,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,2.8133392333984375e-05
833,stage4.2.branches.3.4.se.fc.3,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,0,0,0,0,1.430511474609375e-05
834,stage4.2.branches.3.5.conv1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.0002522468566894531
835,stage4.2.branches.3.5.bn1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.838539123535156e-05
836,stage4.2.branches.3.5.relu,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",0,0.031402587890625,"8,232","8,232","32,928","32,928",1.0251998901367188e-05
837,stage4.2.branches.3.5.conv2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00020051002502441406
838,stage4.2.branches.3.5.bn2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.743171691894531e-05
839,stage4.2.branches.3.5.se.avg_pool,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 1, 1])",0,0.000640869140625,0,"10,752",0,0,4.3392181396484375e-05
840,stage4.2.branches.3.5.se.fc.0,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,3.528594970703125e-05
841,stage4.2.branches.3.5.se.fc.1,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,168,168,672,672,1.1920928955078125e-05
842,stage4.2.branches.3.5.se.fc.2,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,2.8848648071289062e-05
843,stage4.2.branches.3.5.se.fc.3,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,0,0,0,0,1.2874603271484375e-05
844,stage4.2.branches.3.6.conv1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00024819374084472656
845,stage4.2.branches.3.6.bn1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.981590270996094e-05
846,stage4.2.branches.3.6.relu,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",0,0.031402587890625,"8,232","8,232","32,928","32,928",1.0013580322265625e-05
847,stage4.2.branches.3.6.conv2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00019979476928710938
848,stage4.2.branches.3.6.bn2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.790855407714844e-05
849,stage4.2.branches.3.6.se.avg_pool,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 1, 1])",0,0.000640869140625,0,"10,752",0,0,4.315376281738281e-05
850,stage4.2.branches.3.6.se.fc.0,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,3.4332275390625e-05
851,stage4.2.branches.3.6.se.fc.1,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,168,168,672,672,1.1920928955078125e-05
852,stage4.2.branches.3.6.se.fc.2,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,2.86102294921875e-05
853,stage4.2.branches.3.6.se.fc.3,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,0,0,0,0,1.2874603271484375e-05
854,stage4.2.branches.3.7.conv1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00024247169494628906
855,stage4.2.branches.3.7.bn1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.5762786865234375e-05
856,stage4.2.branches.3.7.relu,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",0,0.031402587890625,"8,232","8,232","32,928","32,928",1.3828277587890625e-05
857,stage4.2.branches.3.7.conv2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])","254,016",0.031402587890625,"24,885,336","12,446,784","1,048,992","32,928",0.00021123886108398438
858,stage4.2.branches.3.7.bn2,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",3.8623809814453125e-05
859,stage4.2.branches.3.7.se.avg_pool,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 1, 1])",0,0.000640869140625,0,"10,752",0,0,4.2438507080078125e-05
860,stage4.2.branches.3.7.se.fc.0,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,3.504753112792969e-05
861,stage4.2.branches.3.7.se.fc.1,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,168,168,672,672,1.2159347534179688e-05
862,stage4.2.branches.3.7.se.fc.2,"torch.Size([1, 168])","torch.Size([1, 168])","28,224",0.000640869140625,"56,280","28,224","113,568",672,2.86102294921875e-05
863,stage4.2.branches.3.7.se.fc.3,"torch.Size([1, 168])","torch.Size([1, 168])",0,0.000640869140625,0,0,0,0,1.33514404296875e-05
864,stage4.2.fuse_downsample_layers.0.norm,"torch.Size([1, 42, 28, 28])","torch.Size([1, 42, 28, 28])",84,0.1256103515625,"131,712","65,856","132,048","131,712",4.363059997558594e-05
865,stage4.2.fuse_downsample_layers.1.norm,"torch.Size([1, 84, 14, 14])","torch.Size([1, 84, 14, 14])",168,0.06280517578125,"65,856","32,928","66,528","65,856",4.1484832763671875e-05
866,stage4.2.fuse_downsample_layers.2.norm,"torch.Size([1, 168, 7, 7])","torch.Size([1, 168, 7, 7])",336,0.031402587890625,"32,928","16,464","34,272","32,928",4.1484832763671875e-05
867,stage4.2.fuse_upsample_layers.0.norm,"torch.Size([1, 84, 7, 7])","torch.Size([1, 84, 7, 7])",168,0.0157012939453125,"16,464","8,232","17,136","16,464",3.552436828613281e-05
868,stage4.2.fuse_upsample_layers.1.norm,"torch.Size([1, 42, 14, 14])","torch.Size([1, 42, 14, 14])",84,0.031402587890625,"32,928","16,464","33,264","32,928",3.647804260253906e-05
869,stage4.2.fuse_upsample_layers.2.norm,"torch.Size([1, 21, 28, 28])","torch.Size([1, 21, 28, 28])",42,0.06280517578125,"65,856","32,928","66,024","65,856",3.8623809814453125e-05
870,stage4.2.relu,[],[],0,0.0,0,0,0,0,0.0
871,incre_modules.0.0.conv1,"torch.Size([1, 21, 56, 56])","torch.Size([1, 32, 56, 56])",672,0.3828125,"4,114,432","2,107,392","266,112","401,408",0.0005273818969726562
872,incre_modules.0.0.bn1,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",7.581710815429688e-05
873,incre_modules.0.0.conv2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])","9,216",0.3828125,"57,702,400","28,901,376","438,272","401,408",0.0007648468017578125
874,incre_modules.0.0.bn2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",0.00020194053649902344
875,incre_modules.0.0.conv3,"torch.Size([1, 32, 56, 56])","torch.Size([1, 128, 56, 56])","4,096",1.53125,"25,288,704","12,845,056","417,792","1,605,632",0.0008037090301513672
876,incre_modules.0.0.bn3,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0006244182586669922
877,incre_modules.0.0.relu,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",2.5510787963867188e-05
878,incre_modules.0.0.downsample.0,"torch.Size([1, 21, 56, 56])","torch.Size([1, 128, 56, 56])","2,688",1.53125,"16,457,728","8,429,568","274,176","1,605,632",0.00067901611328125
879,incre_modules.0.0.downsample.1,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0006368160247802734
880,incre_modules.0.0.se.avg_pool,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"415,872",0,0,7.486343383789062e-05
881,incre_modules.0.0.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 8])","1,024",3.0517578125e-05,"2,040","1,024","4,608",32,2.765655517578125e-05
882,incre_modules.0.0.se.fc.1,"torch.Size([1, 8])","torch.Size([1, 8])",0,3.0517578125e-05,8,8,32,32,1.049041748046875e-05
883,incre_modules.0.0.se.fc.2,"torch.Size([1, 8])","torch.Size([1, 128])","1,024",0.00048828125,"1,920","1,024","4,128",512,2.002716064453125e-05
884,incre_modules.0.0.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.1205673217773438e-05
885,incre_modules.1.0.conv1,"torch.Size([1, 42, 28, 28])","torch.Size([1, 64, 28, 28])","2,688",0.19140625,"4,164,608","2,107,392","142,464","200,704",0.00042366981506347656
886,incre_modules.1.0.bn1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.269050598144531e-05
887,incre_modules.1.0.conv2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","36,864",0.19140625,"57,752,576","28,901,376","348,160","200,704",0.00040841102600097656
888,incre_modules.1.0.bn2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.3882598876953125e-05
889,incre_modules.1.0.conv3,"torch.Size([1, 64, 28, 28])","torch.Size([1, 256, 28, 28])","16,384",0.765625,"25,489,408","12,845,056","266,240","802,816",0.0004589557647705078
890,incre_modules.1.0.bn3,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",512,0.765625,"802,816","401,408","804,864","802,816",0.00011324882507324219
891,incre_modules.1.0.relu,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",0,0.765625,"200,704","200,704","802,816","802,816",1.7404556274414062e-05
892,incre_modules.1.0.downsample.0,"torch.Size([1, 42, 28, 28])","torch.Size([1, 256, 28, 28])","10,752",0.765625,"16,658,432","8,429,568","174,720","802,816",0.00046896934509277344
893,incre_modules.1.0.downsample.1,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",512,0.765625,"802,816","401,408","804,864","802,816",0.0003135204315185547
894,incre_modules.1.0.se.avg_pool,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"215,296",0,0,5.6743621826171875e-05
895,incre_modules.1.0.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,3.075599670410156e-05
896,incre_modules.1.0.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.1444091796875e-05
897,incre_modules.1.0.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",2.5033950805664062e-05
898,incre_modules.1.0.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,1.33514404296875e-05
899,incre_modules.2.0.conv1,"torch.Size([1, 84, 14, 14])","torch.Size([1, 128, 14, 14])","10,752",0.095703125,"4,189,696","2,107,392","108,864","100,352",0.0005145072937011719
900,incre_modules.2.0.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.410743713378906e-05
901,incre_modules.2.0.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","147,456",0.095703125,"57,777,664","28,901,376","690,176","100,352",0.000392913818359375
902,incre_modules.2.0.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.744529724121094e-05
903,incre_modules.2.0.conv3,"torch.Size([1, 128, 14, 14])","torch.Size([1, 512, 14, 14])","65,536",0.3828125,"25,589,760","12,845,056","362,496","401,408",0.0005924701690673828
904,incre_modules.2.0.bn3,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 14, 14])","1,024",0.3828125,"401,408","200,704","405,504","401,408",7.653236389160156e-05
905,incre_modules.2.0.relu,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 14, 14])",0,0.3828125,"100,352","100,352","401,408","401,408",1.8358230590820312e-05
906,incre_modules.2.0.downsample.0,"torch.Size([1, 84, 14, 14])","torch.Size([1, 512, 14, 14])","43,008",0.3828125,"16,758,784","8,429,568","237,888","401,408",0.0005047321319580078
