,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
376,layer4.0.bn1,"torch.Size([1, 4096, 14, 14])","torch.Size([1, 4096, 14, 14])","8,192",3.0625,"3,211,264","1,605,632","3,244,032","3,211,264",0.0010089874267578125
377,layer4.0.conv2,"torch.Size([1, 4096, 14, 14])","torch.Size([1, 4096, 7, 7])","2,359,296",0.765625,"231,010,304","115,605,504","12,648,448","802,816",0.0014011859893798828
378,layer4.0.bn2,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","8,192",0.765625,"802,816","401,408","835,584","802,816",0.00016689300537109375
379,layer4.0.conv3,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 2048, 7, 7])","8,388,608",0.3828125,"821,983,232","411,041,792","34,357,248","401,408",0.0045888423919677734
380,layer4.0.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",0.00010657310485839844
381,layer4.0.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",2.1457672119140625e-05
382,layer4.0.downsample.0,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 7, 7])",0,0.19140625,"200,704","200,704","802,816","200,704",5.7220458984375e-05
383,layer4.0.downsample.1,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 2048, 7, 7])","2,097,152",0.3828125,"205,420,544","102,760,448","8,589,312","401,408",0.0010790824890136719
384,layer4.0.downsample.2,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",0.00011324882507324219
385,layer4.0.se.avg_pool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,9.012222290039062e-05
386,layer4.0.se.fc.0,"torch.Size([1, 2048])","torch.Size([1, 128])","262,144",0.00048828125,"524,160","262,144","1,056,768",512,7.05718994140625e-05
387,layer4.0.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.5974044799804688e-05
388,layer4.0.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 2048])","262,144",0.0078125,"522,240","262,144","1,049,088","8,192",4.291534423828125e-05
389,layer4.0.se.fc.3,"torch.Size([1, 2048])","torch.Size([1, 2048])",0,0.0078125,0,0,0,0,1.8835067749023438e-05
390,layer4.1.conv1,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 4096, 7, 7])","8,388,608",0.765625,"821,882,880","411,041,792","33,955,840","802,816",0.0044023990631103516
391,layer4.1.bn1,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","8,192",0.765625,"802,816","401,408","835,584","802,816",0.00017762184143066406
392,layer4.1.conv2,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","2,359,296",0.765625,"231,010,304","115,605,504","10,240,000","802,816",0.0009348392486572266
393,layer4.1.bn2,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","8,192",0.765625,"802,816","401,408","835,584","802,816",0.00017404556274414062
394,layer4.1.conv3,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 2048, 7, 7])","8,388,608",0.3828125,"821,983,232","411,041,792","34,357,248","401,408",0.0040433406829833984
395,layer4.1.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",0.00011014938354492188
396,layer4.1.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",1.621246337890625e-05
397,layer4.1.se.avg_pool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,8.726119995117188e-05
398,layer4.1.se.fc.0,"torch.Size([1, 2048])","torch.Size([1, 128])","262,144",0.00048828125,"524,160","262,144","1,056,768",512,6.723403930664062e-05
399,layer4.1.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.5497207641601562e-05
400,layer4.1.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 2048])","262,144",0.0078125,"522,240","262,144","1,049,088","8,192",4.291534423828125e-05
401,layer4.1.se.fc.3,"torch.Size([1, 2048])","torch.Size([1, 2048])",0,0.0078125,0,0,0,0,1.9073486328125e-05
402,layer4.2.conv1,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 4096, 7, 7])","8,388,608",0.765625,"821,882,880","411,041,792","33,955,840","802,816",0.00394892692565918
403,layer4.2.bn1,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","8,192",0.765625,"802,816","401,408","835,584","802,816",0.00018310546875
404,layer4.2.conv2,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","2,359,296",0.765625,"231,010,304","115,605,504","10,240,000","802,816",0.0009105205535888672
405,layer4.2.bn2,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 4096, 7, 7])","8,192",0.765625,"802,816","401,408","835,584","802,816",0.0001709461212158203
406,layer4.2.conv3,"torch.Size([1, 4096, 7, 7])","torch.Size([1, 2048, 7, 7])","8,388,608",0.3828125,"821,983,232","411,041,792","34,357,248","401,408",0.004070281982421875
407,layer4.2.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",0.00010752677917480469
408,layer4.2.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",1.5974044799804688e-05
409,layer4.2.se.avg_pool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,9.1552734375e-05
410,layer4.2.se.fc.0,"torch.Size([1, 2048])","torch.Size([1, 128])","262,144",0.00048828125,"524,160","262,144","1,056,768",512,7.224082946777344e-05
411,layer4.2.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.621246337890625e-05
412,layer4.2.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 2048])","262,144",0.0078125,"522,240","262,144","1,049,088","8,192",4.220008850097656e-05
413,layer4.2.se.fc.3,"torch.Size([1, 2048])","torch.Size([1, 2048])",0,0.0078125,0,0,0,0,1.9311904907226562e-05
414,avgpool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,5.8650970458984375e-05
415,fc,"torch.Size([1, 2048])","torch.Size([1, 1000])","2,049,000",0.003814697265625,"4,095,000","2,048,000","8,204,192","4,000",0.00024247169494628906
416,Model,"(1, 3, 224, 224)","torch.Size([1, 1000])","177,455,016",429.3406066894531,"64,909,481,240","32,495,859,440","1,160,354,336","449,927,968",0.1923820972442627
