,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
0,conv1,"torch.Size([1, 3, 224, 224])","torch.Size([1, 64, 112, 112])","1,728",3.0625,"42,549,248","21,676,032","609,024","3,211,264",0.002494335174560547
1,bn1,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 112, 112])",128,3.0625,"3,211,264","1,605,632","3,211,776","3,211,264",0.001344442367553711
2,relu,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",7.367134094238281e-05
3,conv2,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","3,358,720","802,816",0.0024230480194091797
4,bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00016832351684570312
5,dropblocks,[],[],0,0.0,0,0,0,0,0.0
6,layer1.0.conv1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 128, 56, 56])","8,192",1.53125,"50,978,816","25,690,112","835,584","1,605,632",0.0015752315521240234
7,layer1.0.bn1,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0006468296051025391
8,layer1.0.conv2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])","4,608",1.53125,"28,499,968","14,450,688","1,624,064","1,605,632",0.001497507095336914
9,layer1.0.bn2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0006585121154785156
10,layer1.0.conv3,"torch.Size([1, 128, 56, 56])","torch.Size([1, 256, 56, 56])","32,768",3.0625,"204,718,080","102,760,448","1,736,704","3,211,264",0.0023119449615478516
11,layer1.0.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0012428760528564453
12,layer1.0.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",5.6743621826171875e-05
13,layer1.0.downsample.0,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",0.0005583763122558594
14,layer1.0.downsample.1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0013704299926757812
15,layer1.0.downsample.2,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0011963844299316406
16,layer1.0.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,0.0002434253692626953
17,layer1.0.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,0.00016307830810546875
18,layer1.0.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.33514404296875e-05
19,layer1.0.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",3.361701965332031e-05
20,layer1.0.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,5.7220458984375e-05
21,layer1.1.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 128, 56, 56])","32,768",1.53125,"205,119,488","102,760,448","3,342,336","1,605,632",0.0010521411895751953
22,layer1.1.bn1,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.00023436546325683594
23,layer1.1.conv2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])","4,608",1.53125,"28,499,968","14,450,688","1,624,064","1,605,632",0.00040531158447265625
24,layer1.1.bn2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0002760887145996094
25,layer1.1.conv3,"torch.Size([1, 128, 56, 56])","torch.Size([1, 256, 56, 56])","32,768",3.0625,"204,718,080","102,760,448","1,736,704","3,211,264",0.001359701156616211
26,layer1.1.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.001168966293334961
27,layer1.1.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",4.9591064453125e-05
28,layer1.1.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,0.00012731552124023438
29,layer1.1.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,4.839897155761719e-05
30,layer1.1.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.1205673217773438e-05
31,layer1.1.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",2.7894973754882812e-05
32,layer1.1.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,1.52587890625e-05
33,layer1.2.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 128, 56, 56])","32,768",1.53125,"205,119,488","102,760,448","3,342,336","1,605,632",0.0010128021240234375
34,layer1.2.bn1,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0002105236053466797
35,layer1.2.conv2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])","4,608",1.53125,"28,499,968","14,450,688","1,624,064","1,605,632",0.0006756782531738281
36,layer1.2.bn2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.000244140625
37,layer1.2.conv3,"torch.Size([1, 128, 56, 56])","torch.Size([1, 256, 56, 56])","32,768",3.0625,"204,718,080","102,760,448","1,736,704","3,211,264",0.0010151863098144531
38,layer1.2.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.00034999847412109375
39,layer1.2.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",3.719329833984375e-05
40,layer1.2.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,9.417533874511719e-05
41,layer1.2.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,4.673004150390625e-05
42,layer1.2.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.1444091796875e-05
43,layer1.2.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",2.47955322265625e-05
44,layer1.2.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,1.5735626220703125e-05
45,layer2.0.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])","65,536",3.0625,"410,238,976","205,520,896","3,473,408","3,211,264",0.001604318618774414
46,layer2.0.bn1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.00038361549377441406
47,layer2.0.conv2,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 28, 28])","18,432",0.765625,"28,700,672","14,450,688","3,284,992","802,816",0.0007092952728271484
48,layer2.0.bn2,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",512,0.765625,"802,816","401,408","804,864","802,816",0.00012111663818359375
49,layer2.0.conv3,"torch.Size([1, 256, 28, 28])","torch.Size([1, 512, 28, 28])","131,072",1.53125,"205,119,488","102,760,448","1,327,104","1,605,632",0.0008959770202636719
50,layer2.0.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.00020360946655273438
51,layer2.0.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",2.956390380859375e-05
52,layer2.0.downsample.0,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 28, 28])",0,0.765625,"802,816","802,816","3,211,264","802,816",0.0002751350402832031
53,layer2.0.downsample.1,"torch.Size([1, 256, 28, 28])","torch.Size([1, 512, 28, 28])","131,072",1.53125,"205,119,488","102,760,448","1,327,104","1,605,632",0.0006988048553466797
54,layer2.0.downsample.2,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.0006511211395263672
55,layer2.0.se.avg_pool,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 1, 1])",0,0.001953125,0,"430,592",0,0,0.00010514259338378906
56,layer2.0.se.fc.0,"torch.Size([1, 512])","torch.Size([1, 32])","16,384",0.0001220703125,"32,736","16,384","67,584",128,5.054473876953125e-05
