,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
43,layer2.1.bn2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",8.463859558105469e-05
44,layer2.1.conv3,"torch.Size([1, 128, 28, 28])","torch.Size([1, 512, 28, 28])","65,536",1.53125,"102,359,040","51,380,224","663,552","1,605,632",0.000484466552734375
45,layer2.1.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.0006313323974609375
46,layer2.1.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",4.6253204345703125e-05
47,layer2.2.conv1,"torch.Size([1, 512, 28, 28])","torch.Size([1, 128, 28, 28])","65,536",0.3828125,"102,660,096","51,380,224","1,867,776","401,408",0.00048041343688964844
48,layer2.2.bn1,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",7.605552673339844e-05
49,layer2.2.conv2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])","147,456",0.3828125,"231,110,656","115,605,504","991,232","401,408",0.0003943443298339844
50,layer2.2.bn2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",7.510185241699219e-05
51,layer2.2.conv3,"torch.Size([1, 128, 28, 28])","torch.Size([1, 512, 28, 28])","65,536",1.53125,"102,359,040","51,380,224","663,552","1,605,632",0.00041484832763671875
52,layer2.2.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.0006275177001953125
53,layer2.2.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",2.7179718017578125e-05
54,layer2.3.conv1,"torch.Size([1, 512, 28, 28])","torch.Size([1, 128, 28, 28])","65,536",0.3828125,"102,660,096","51,380,224","1,867,776","401,408",0.0004699230194091797
55,layer2.3.bn1,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",7.319450378417969e-05
56,layer2.3.conv2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])","147,456",0.3828125,"231,110,656","115,605,504","991,232","401,408",0.0003924369812011719
57,layer2.3.bn2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",7.200241088867188e-05
58,layer2.3.conv3,"torch.Size([1, 128, 28, 28])","torch.Size([1, 512, 28, 28])","65,536",1.53125,"102,359,040","51,380,224","663,552","1,605,632",0.00044274330139160156
59,layer2.3.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.0006229877471923828
60,layer2.3.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",4.863739013671875e-05
61,layer3.0.conv1,"torch.Size([1, 512, 28, 28])","torch.Size([1, 256, 28, 28])","131,072",0.765625,"205,320,192","102,760,448","2,129,920","802,816",0.0008482933044433594
62,layer3.0.bn1,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",512,0.765625,"802,816","401,408","804,864","802,816",0.00012373924255371094
63,layer3.0.conv2,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","3,162,112","200,704",0.0008919239044189453
64,layer3.0.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",6.508827209472656e-05
65,layer3.0.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.0007295608520507812
66,layer3.0.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.000209808349609375
67,layer3.0.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",2.3365020751953125e-05
68,layer3.0.downsample.0,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 14, 14])",0,0.3828125,"401,408","401,408","1,605,632","401,408",0.0001342296600341797
69,layer3.0.downsample.1,"torch.Size([1, 512, 14, 14])","torch.Size([1, 1024, 14, 14])","524,288",0.765625,"205,320,192","102,760,448","2,498,560","802,816",0.0009317398071289062
70,layer3.0.downsample.2,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.00012254714965820312
