,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
148,stage3.0.branches.2.2.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.553794860839844e-05
149,stage3.0.branches.2.2.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.239776611328125e-05
150,stage3.0.branches.2.2.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.0001399517059326172
151,stage3.0.branches.2.2.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.291534423828125e-05
152,stage3.0.branches.2.2.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,4.38690185546875e-05
153,stage3.0.branches.2.2.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.7670135498046875e-05
154,stage3.0.branches.2.2.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.1444091796875e-05
155,stage3.0.branches.2.2.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.956390380859375e-05
156,stage3.0.branches.2.2.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.1444091796875e-05
157,stage3.0.branches.2.3.conv1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.00016450881958007812
158,stage3.0.branches.2.3.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",3.838539123535156e-05
159,stage3.0.branches.2.3.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.5735626220703125e-05
160,stage3.0.branches.2.3.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.00013947486877441406
161,stage3.0.branches.2.3.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.076957702636719e-05
162,stage3.0.branches.2.3.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,3.910064697265625e-05
163,stage3.0.branches.2.3.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.361701965332031e-05
164,stage3.0.branches.2.3.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.0013580322265625e-05
165,stage3.0.branches.2.3.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.7418136596679688e-05
166,stage3.0.branches.2.3.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.0013580322265625e-05
167,stage3.0.fuse_downsample_layers.0.norm,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.2928924560546875e-05
168,stage3.0.fuse_downsample_layers.1.norm,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.887580871582031e-05
